trip_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
53,1.0,4.0,3.0,0.5,1.55,0.0,0.3,2.5,9.35
54,1.0,9.5,0.0,0.5,2.56,0.0,0.3,2.5,15.36
55,1.0,5.0,0.0,0.5,0.5,0.0,0.3,2.5,8.8
56,1.0,4.0,2.5,0.5,1.0,0.0,0.3,2.5,8.3
57,1.0,9.5,0.0,0.5,2.56,0.0,0.3,2.5,15.36
58,1.0,12.5,0.0,0.5,1.2,0.0,0.3,2.5,17.0
59,1.0,14.5,1.0,0.5,2.26,0.0,0.3,2.5,21.06
60,1.0,30.5,2.5,0.5,7.95,6.12,0.3,2.5,47.87
61,2.0,6.5,3.5,0.5,0.0,0.0,0.3,2.5,10.8
62,2.0,6.5,0.0,0.5,0.0,0.0,0.3,2.5,9.8
63,2.0,11.0,1.0,0.5,0.0,0.0,0.3,2.5,15.3
64,1.0,13.5,2.5,0.5,1.0,0.0,0.3,2.5,17.8
65,1.0,7.0,0.0,0.5,2.06,0.0,0.3,2.5,12.36
66,1.0,50.0,0.0,0.0,7.0,0.0,0.3,0.0,57.3
67,2.0,70.5,0.0,0.5,0.0,24.48,0.3,0.0,95.78
68,1.0,23.0,0.5,0.5,5.36,0.0,0.3,2.5,32.16
69,2.0,24.0,2.5,0.5,0.0,0.0,0.3,2.5,27.3
70,1.0,2.5,1.0,0.5,8.0,0.0,0.3,2.5,14.8
71,1.0,8.5,0.5,0.5,1.5,0.0,0.3,2.5,13.8
72,2.0,-5.0,-0.5,-0.5,0.0,0.0,-0.3,-2.5,-8.8
73,1.0,7.5,2.5,0.5,2.15,0.0,0.3,2.5,12.95
74,1.0,12.5,0.0,0.5,2.0,0.0,0.3,2.5,17.8
75,1.0,12.0,0.5,0.5,3.16,0.0,0.3,2.5,18.96
76,1.0,20.5,0.5,0.5,4.0,0.0,0.3,2.5,28.3
77,1.0,22.5,3.0,0.5,5.25,0.0,0.3,2.5,31.55
78,1.0,16.5,0.5,0.5,3.56,0.0,0.3,0.0,21.36
79,1.0,62.5,0.0,0.0,13.06,0.0,0.3,2.5,78.36
80,1.0,25.0,3.0,0.5,8.7,6.12,0.3,2.5,43.62
81,1.0,5.0,0.0,0.5,1.24,0.0,0.3,2.5,9.54
82,2.0,6.5,1.0,0.5,0.0,0.0,0.3,2.5,10.8
83,1.0,62.0,0.0,0.0,5.0,0.0,0.3,2.5,69.8
84,1.0,11.5,2.5,0.5,2.96,0.0,0.3,2.5,17.76
85,1.0,12.0,3.5,0.5,3.25,0.0,0.3,2.5,19.55
86,1.0,6.5,0.0,0.5,1.96,0.0,0.3,2.5,11.76
87,1.0,33.0,0.0,0.5,8.48,6.12,0.3,2.5,50.9
88,2.0,21.5,0.0,0.5,0.0,0.0,0.3,0.0,22.3
89,1.0,9.5,3.5,0.5,2.75,0.0,0.3,2.5,16.55
90,2.0,26.0,0.0,0.5,0.0,0.0,0.3,0.0,26.8
91,1.0,7.0,1.0,0.5,1.0,0.0,0.3,2.5,12.3
92,1.0,10.5,0.0,0.5,4.14,0.0,0.3,2.5,17.94
93,1.0,6.0,1.0,0.5,1.54,0.0,0.3,2.5,11.84
94,1.0,11.0,3.5,0.5,3.0,0.0,0.3,2.5,18.3
95,1.0,18.0,1.0,0.5,4.46,0.0,0.3,2.5,26.76
96,2.0,8.5,0.0,0.5,0.0,0.0,0.3,2.5,11.8
97,1.0,11.0,0.0,0.5,3.58,0.0,0.3,2.5,17.88
98,1.0,9.0,0.0,0.5,1.84,0.0,0.3,2.5,14.14
99,1.0,5.0,2.5,0.5,2.45,0.0,0.3,2.5,10.75
100,2.0,7.5,0.5,0.5,0.0,0.0,0.3,0.0,8.8
101,1.0,14.5,2.5,0.5,3.55,0.0,0.3,2.5,21.35
102,2.0,6.0,0.0,0.5,0.0,0.0,0.3,0.0,6.8
103,2.0,19.5,0.0,0.5,0.0,0.0,0.3,2.5,22.8
104,1.0,11.0,3.5,0.5,2.0,0.0,0.3,2.5,17.3
105,2.0,3.0,1.0,0.5,0.0,0.0,0.3,2.5,7.3
106,1.0,4.0,2.5,0.5,1.1,0.0,0.3,2.5,8.4
107,1.0,8.0,0.0,0.5,2.26,0.0,0.3,2.5,13.56
108,2.0,4.0,1.0,0.5,0.0,0.0,0.3,2.5,8.3
109,1.0,8.5,0.0,0.5,2.36,0.0,0.3,2.5,14.16
110,1.0,14.5,2.5,0.5,4.2,0.0,0.3,2.5,22.0
111,2.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
112,1.0,8.5,2.5,0.5,2.35,0.0,0.3,2.5,14.15
113,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
114,2.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
115,1.0,11.0,3.5,0.5,2.7,0.0,0.3,2.5,18.0
116,1.0,25.5,0.5,0.5,7.32,0.0,0.3,2.5,36.62
117,1.0,15.0,0.5,0.5,2.82,0.0,0.3,2.5,21.62
118,1.0,10.0,0.0,0.5,2.66,0.0,0.3,2.5,15.96
119,1.0,22.2,0.0,0.5,0.0,0.0,0.3,0.0,23.0
120,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
121,1.0,10.5,0.5,0.5,3.58,0.0,0.3,2.5,17.88
122,2.0,14.5,0.5,0.5,0.0,0.0,0.3,2.5,18.3
123,1.0,3.5,0.0,0.5,1.16,0.0,0.3,2.5,7.96
124,2.0,18.0,3.0,0.5,0.0,0.0,0.3,2.5,21.8
125,1.0,6.5,0.0,0.5,1.96,0.0,0.3,2.5,11.76
126,1.0,4.0,0.0,0.5,0.96,0.0,0.3,0.0,5.76
127,2.0,13.5,0.0,0.5,0.0,0.0,0.3,2.5,16.8
128,1.0,8.5,2.5,0.5,2.36,0.0,0.3,2.5,14.16
129,1.0,8.5,0.5,0.5,2.46,0.0,0.3,2.5,14.76
130,1.0,18.5,3.0,0.5,4.45,0.0,0.3,2.5,26.75
131,1.0,7.5,0.0,0.5,1.0,0.0,0.3,2.5,11.8
132,1.0,5.5,2.5,0.5,2.2,0.0,0.3,2.5,11.0
133,1.0,5.5,1.0,0.5,1.0,0.0,0.3,2.5,10.8
134,2.0,6.0,3.5,0.5,0.0,0.0,0.3,2.5,10.3
135,2.0,20.5,0.0,0.5,0.0,0.0,0.3,2.5,23.8
136,1.0,4.0,0.0,0.5,2.19,0.0,0.3,2.5,9.49
137,1.0,9.0,0.5,0.5,0.5,0.0,0.3,2.5,13.3
138,1.0,15.5,0.5,0.5,3.86,0.0,0.3,2.5,23.16
139,1.0,9.5,0.0,0.5,2.56,0.0,0.3,2.5,15.36
140,2.0,5.5,0.5,0.5,0.0,0.0,0.3,2.5,9.3
141,1.0,20.5,0.0,0.5,4.76,0.0,0.3,2.5,28.56
142,1.0,7.0,3.0,0.5,1.7,0.0,0.3,2.5,12.5
143,2.0,9.0,0.5,0.5,0.0,0.0,0.3,0.0,10.3
144,2.0,7.5,0.0,0.5,0.0,0.0,0.3,2.5,10.8
145,1.0,6.5,1.0,0.5,1.62,0.0,0.3,2.5,12.42
146,1.0,6.0,0.5,0.5,1.96,0.0,0.3,2.5,11.76
147,1.0,13.0,0.0,0.5,2.44,0.0,0.3,2.5,18.74
148,1.0,8.0,0.0,0.5,2.82,0.0,0.3,2.5,14.12
149,1.0,7.5,2.5,0.5,3.0,0.0,0.3,2.5,13.8
150,1.0,4.0,0.0,0.5,1.46,0.0,0.3,2.5,8.76
151,2.0,21.0,0.5,0.5,0.0,0.0,0.3,2.5,24.8
152,1.0,5.5,2.5,0.5,1.75,0.0,0.3,2.5,10.55
153,1.0,9.0,0.0,0.5,3.08,0.0,0.3,2.5,15.38
154,1.0,52.0,4.5,0.5,13.18,6.12,0.3,2.5,79.1
155,1.0,4.5,0.0,0.5,1.5,0.0,0.3,2.5,9.3
156,1.0,6.5,0.5,0.5,1.54,0.0,0.3,2.5,11.84
157,1.0,6.5,2.5,0.5,2.45,0.0,0.3,2.5,12.25
158,1.0,11.0,2.5,0.5,2.85,0.0,0.3,2.5,17.15
159,2.0,32.5,0.5,0.5,0.0,0.0,0.3,2.5,36.3
160,1.0,10.0,0.0,0.5,2.0,0.0,0.3,2.5,15.3
161,1.0,8.0,0.0,0.5,2.26,0.0,0.3,2.5,13.56
162,1.0,8.0,2.5,0.5,2.25,0.0,0.3,2.5,13.55
163,1.0,8.0,0.0,0.5,2.26,0.0,0.3,2.5,13.56
164,1.0,6.5,3.5,0.5,2.15,0.0,0.3,2.5,12.95
165,1.0,6.0,2.5,0.5,1.7,0.0,0.3,2.5,11.0
166,2.0,14.0,1.0,0.5,0.0,0.0,0.3,2.5,18.3
167,1.0,5.5,3.0,0.5,2.75,0.0,0.3,2.5,12.05
168,1.0,13.0,0.0,0.5,3.26,0.0,0.3,2.5,19.56
169,2.0,52.0,0.0,0.5,0.0,0.0,0.3,2.5,55.3
170,1.0,10.5,0.5,0.5,2.86,0.0,0.3,2.5,17.16
171,1.0,16.5,0.0,0.5,2.0,0.0,0.3,2.5,21.8
172,1.0,8.0,2.5,0.5,2.25,0.0,0.3,2.5,13.55
173,1.0,8.5,0.0,0.5,2.36,0.0,0.3,2.5,14.16
174,1.0,7.5,0.0,0.5,2.16,0.0,0.3,2.5,12.96
175,1.0,14.0,3.0,0.5,2.67,0.0,0.3,2.5,20.47
176,1.0,7.0,1.0,0.5,2.26,0.0,0.3,2.5,13.56
177,1.0,6.5,0.0,0.5,1.96,0.0,0.3,2.5,11.76
178,1.0,52.0,0.0,0.5,0.0,0.0,0.3,2.5,55.3
179,1.0,7.0,3.5,0.5,1.7,0.0,0.3,2.5,13.0
180,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
181,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
182,2.0,22.0,0.0,0.5,0.0,0.0,0.3,0.0,22.8
183,1.0,12.0,1.0,0.5,3.26,0.0,0.3,2.5,19.56
184,1.0,16.0,1.0,0.5,5.28,6.12,0.3,2.5,31.7
185,1.0,6.0,0.0,0.5,1.86,0.0,0.3,2.5,11.16
186,1.0,10.0,2.5,0.5,2.66,0.0,0.3,2.5,15.96
187,1.0,5.0,0.0,0.5,1.66,0.0,0.3,2.5,9.96
188,2.0,18.5,0.0,0.5,0.0,0.0,0.3,2.5,21.8
189,1.0,20.5,0.0,0.5,5.95,0.0,0.3,2.5,29.75
190,2.0,4.0,0.5,0.5,0.0,0.0,0.3,2.5,7.8
191,1.0,12.0,2.5,0.5,3.8,0.0,0.3,2.5,19.1
192,1.0,8.0,0.0,0.5,2.26,0.0,0.3,2.5,13.56
193,1.0,5.0,0.0,0.5,0.83,0.0,0.3,2.5,9.13
194,2.0,6.5,2.5,0.5,0.0,0.0,0.3,2.5,9.8
195,2.0,7.5,0.5,0.5,0.0,0.0,0.3,2.5,11.3
196,1.0,6.0,0.5,0.5,2.45,0.0,0.3,2.5,12.25
197,2.0,9.0,2.5,0.5,0.0,0.0,0.3,2.5,12.3
198,1.0,8.0,3.0,0.5,2.95,0.0,0.3,2.5,14.75
199,1.0,8.5,0.0,0.5,2.36,0.0,0.3,2.5,14.16
200,3.0,-5.5,0.0,-0.5,0.0,0.0,-0.3,-2.5,-8.8
201,1.0,14.5,1.0,0.5,3.76,0.0,0.3,2.5,22.56
202,1.0,9.5,0.0,0.5,2.56,0.0,0.3,2.5,15.36
203,1.0,12.0,3.5,0.5,3.25,0.0,0.3,2.5,19.55
204,1.0,4.0,1.0,0.5,1.66,0.0,0.3,2.5,9.96
205,2.0,7.0,0.0,0.5,0.0,0.0,0.3,2.5,10.3
206,1.0,4.5,0.0,0.5,0.78,0.0,0.3,2.5,8.58
207,1.0,5.5,3.5,0.5,0.5,0.0,0.3,2.5,10.3
208,1.0,5.5,0.5,0.5,0.7,0.0,0.3,2.5,10.0
209,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
210,1.0,10.0,3.0,0.5,2.75,0.0,0.3,2.5,16.55
