trip_id,location_id
1,180
2,249
3,50
4,158
5,114
6,164
7,263
8,231
9,224
10,263
11,138
12,162
13,161
14,151
15,161
16,163
17,249
18,48
19,237
20,13
21,75
22,239
23,161
24,237
25,79
26,164
27,211
28,263
29,142
30,132
31,263
32,238
33,68
34,13
35,163
36,141
37,237
38,263
39,43
40,263
41,161
42,162
43,237
44,90
45,148
46,113
47,75
48,236
49,43
50,239
51,186
52,264
53,48
54,13
55,239
56,170
57,164
58,48
59,164
60,239
61,141
62,229
63,237
64,236
65,43
66,265
67,132
68,161
69,90
70,144
71,234
72,249
73,236
74,162
75,239
76,140
77,163
78,255
79,132
80,186
81,239
82,186
83,28
84,48
85,164
86,237
87,138
88,132
89,142
90,132
91,236
92,236
93,230
94,246
95,114
96,186
97,164
98,161
99,50
100,74
101,148
102,264
103,237
104,13
105,100
106,48
107,113
108,140
109,236
110,48
111,141
112,186
113,132
114,142
115,142
116,164
117,113
118,90
119,234
120,162
121,13
122,162
123,141
124,88
125,161
126,33
127,107
128,48
129,236
130,141
131,161
132,161
133,263
134,79
135,90
136,137
137,238
138,186
139,234
140,249
141,140
142,237
143,152
144,163
145,68
146,262
147,231
148,263
149,237
150,142
151,249
152,107
153,141
154,132
155,236
156,79
157,238
158,237
159,145
160,137
161,237
162,148
163,186
164,239
165,229
166,142
167,224
168,237
169,132
170,234
171,142
172,161
173,170
174,237
175,237
176,144
177,143
178,238
179,161
180,132
181,132
182,132
183,230
184,13
185,234
186,148
187,50
188,238
189,211
190,234
191,234
192,50
193,100
194,229
195,161
196,249
197,230
198,161
199,143
200,163
201,163
202,170
203,148
204,229
205,142
206,236
207,162
208,263
209,162
210,230
211,113
212,145
213,170
214,42
215,48
216,48
217,107
218,68
219,100
220,249
221,48
222,41
223,142
224,68
225,140
226,236
227,158
228,238
229,143
230,161
231,236
232,230
233,141
234,107
235,162
236,141
237,163
238,142
239,146
240,75
241,239
242,142
243,43
244,42
245,163
246,13
247,13
248,237
249,234
250,230
251,143
252,68
253,186
254,138
255,237
256,236
257,142
258,170
259,48
260,234
261,230
262,239
263,234
264,230
265,162
266,68
267,249
268,231
269,246
270,163
271,158
272,239
273,170
274,137
275,163
276,142
277,161
278,231
279,163
280,75
281,262
282,79
283,162
284,132
285,170
286,140
287,142
288,263
289,239
290,138
291,262
292,224
293,75
294,237
295,233
296,162
297,68
298,87
299,263
300,161
301,161
302,191
303,246
304,162
305,43
306,230
307,170
308,68
309,132
310,230
311,239
312,262
313,170
314,82
315,87
316,162
317,158
318,13
319,48
320,142
321,143
322,113
323,113
324,170
325,234
326,161
327,229
328,125
329,138
330,239
331,229
332,132
333,141
334,48
335,231
336,25
337,231
338,234
339,142
340,161
341,100
342,163
343,186
344,68
345,141
346,138
347,140
348,100
349,229
350,262
351,246
352,162
353,107
354,141
355,68
356,236
357,158
358,236
359,142
360,236
361,262
362,186
363,249
364,141
365,236
366,186
367,229
368,163
369,142
370,50
371,161
372,236
373,143
374,132
375,143
376,68
377,186
378,237
379,138
380,158
381,209
382,162
383,140
384,152
385,79
386,236
387,68
388,113
389,37
390,143
391,90
392,141
393,211
394,230
395,138
396,246
397,50
398,186
399,75
400,90
401,163
402,186
403,230
404,238
405,243
406,132
407,186
408,238
409,41
410,144
411,163
412,148
413,239
414,132
415,141
416,231
417,79
418,234
419,113
420,249
421,13
422,236
423,132
424,233
425,163
426,234
427,132
428,237
429,158
430,161
431,162
432,137
433,237
434,74
435,264
436,239
437,141
438,43
439,234
440,137
441,138
442,238
443,97
444,249
445,137
446,249
447,137
448,211
449,90
450,107
451,48
452,158
453,230
454,66
455,162
456,234
457,163
458,238
459,237
460,164
461,162
462,261
463,236
464,238
465,239
466,141
467,68
468,186
469,151
470,107
471,237
472,161
473,237
474,125
475,50
476,13
477,237
478,246
479,249
480,114
481,137
482,186
483,132
484,229
485,142
486,141
487,236
488,237
489,148
490,114
491,162
492,263
493,163
494,142
495,161
496,237
497,170
498,238
499,234
500,237
501,48
502,239
503,90
504,234
505,74
506,90
507,246
508,137
509,237
510,246
511,186
512,107
513,107
514,90
515,114
516,48
517,142
518,75
519,166
520,79
521,230
522,48
523,100
524,50
525,50
526,246
527,88
528,170
529,211
530,100
531,249
532,132
533,113
534,113
535,229
536,164
537,137
538,138
539,211
540,164
541,43
542,234
543,162
544,48
545,151
546,163
547,209
548,239
549,161
550,162
551,163
552,239
553,37
554,79
555,236
556,230
557,239
558,239
559,142
560,107
561,13
562,163
563,262
564,158
565,237
566,170
567,164
568,237
569,211
570,236
571,39
572,148
573,246
574,236
575,249
576,142
577,138
578,237
579,239
580,50
581,79
582,237
583,237
584,50
585,152
586,229
587,50
588,239
589,237
590,230
591,234
592,230
593,148
594,79
595,239
596,140
597,231
598,246
599,230
600,246
601,236
602,186
603,249
604,239
605,170
606,164
607,113
608,237
609,162
610,100
611,162
612,107
613,140
614,236
615,246
616,238
617,238
618,138
619,263
620,166
621,100
622,164
623,100
624,234
625,48
626,79
627,237
628,143
629,90
630,237
631,148
632,249
633,145
634,68
635,100
636,140
637,264
638,141
639,132
640,143
641,237
642,163
643,132
644,142
645,48
646,230
647,113
648,236
649,234
650,168
651,158
652,236
653,146
654,263
655,234
656,79
657,249
658,82
659,113
660,75
661,246
662,236
663,231
664,142
665,262
666,162
667,229
668,170
669,234
670,28
671,87
672,246
673,186
674,68
675,236
676,163
677,132
678,164
679,43
680,79
681,249
682,79
683,163
684,107
685,151
686,143
687,237
688,68
689,230
690,234
691,132
692,68
693,163
694,170
695,164
696,138
697,249
698,249
699,162
700,162
701,166
702,142
703,88
704,163
705,262
706,263
707,234
708,230
709,138
710,113
711,158
712,48
713,239
714,164
715,231
716,230
717,43
718,161
719,68
720,237
721,48
722,236
723,43
724,107
725,113
726,234
727,140
728,113
729,162
730,239
731,158
732,164
733,141
734,42
735,163
736,162
737,100
738,140
739,170
740,164
741,239
742,186
743,170
744,236
745,161
746,237
747,170
748,141
749,132
750,141
751,186
752,229
753,68
754,162
755,142
756,48
757,238
758,249
759,186
760,233
761,231
762,68
763,230
764,236
765,48
766,79
767,90
768,239
769,141
770,236
771,246
772,249
773,13
774,48
775,50
776,43
777,137
778,79
779,229
780,186
781,186
782,161
783,107
784,161
785,132
786,249
787,237
788,249
789,88
790,143
791,237
792,75
793,224
794,238
795,162
796,79
797,186
798,137
799,232
800,141
801,237
802,237
803,164
804,237
805,107
806,162
807,137
808,236
809,239
810,144
811,237
812,170
813,161
814,132
815,238
816,249
817,233
818,234
819,164
820,158
821,262
822,137
823,246
824,249
825,236
826,262
827,186
828,249
829,75
830,90
831,142
832,114
